GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45203694,rs620807-?,rs620807,620807,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45222481,rs346758-?,rs346758,346758,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45226017,rs346763-?,rs346763,346763,1.00E-12
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45220448,rs12461144-?,rs12461144,12461144,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45231493,rs62118504-?,rs62118504,62118504,5.00E-14
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45236417,rs11667829-?,rs11667829,11667829,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,20q13.31,20,56408019,rs6069736-?,rs6069736,6069736,3.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,6p21.32,6,32610753,rs9271192-?,rs9271192,9271192,7.00E-10
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7p14.1,7,37801932,rs2718058-?,rs2718058,2718058,2.00E-06
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11p11.2,11,47536319,rs10838725-?,rs10838725,10838725,2.00E-06
NR,22005930,Genome-wide association study of Alzheimer's disease with psychotic symptoms.,Psychosis in Alzheimer's disease,"1,039 European ancestry cases with psychosis, 610 European ancestry cases without psychosis, 260 European, African American and Native American ancestry cases with psychosis and 125 European, African American and Native American ancestry cases without psychosis from 264 families",NA,5q11.2,5,56609071,rs17716202-?,rs17716202,17716202,8.00E-06
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",19q13.32,19,44885243,rs283811-G,rs283811,283811,7.00E-09
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",19q13.32,19,44888997,rs6857-T,rs6857,6857,6.00E-07
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",19q13.32,19,44885243,rs283811-G,rs283811,283811,1.00E-15
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",19q13.32,19,44888997,rs6857-T,rs6857,6857,7.00E-18
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",19q13.32,19,44912921,rs483082-T,rs483082,483082,1.00E-15
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",5q31.3,5,140327854,rs11168036-T,rs11168036,11168036,7.00E-09
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",10p14,10,11679103,rs12358692-T,rs12358692,12358692,3.00E-08
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",17q22,17,58331728,rs2632516-G,rs2632516,2632516,4.00E-08
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease in APOE e4- carriers,"4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","2,751 European ancestry cases, 11,497 European ancestry controls",5q31.3,5,140327854,rs11168036-T,rs11168036,11168036,1.00E-06
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease in APOE e4- carriers,"4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","2,751 European ancestry cases, 11,497 European ancestry controls",10p14,10,11675398,rs11257238-T,rs11257238,11257238,5.00E-09
NR,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease in APOE e4- carriers,"4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","2,751 European ancestry cases, 11,497 European ancestry controls",17q22,17,58331728,rs2632516-G,rs2632516,2632516,4.00E-06
SLC4A1,22159054,A comprehensive genetic association study of Alzheimer disease in African Americans.,Alzheimer's disease,"513 African American cases, 496 African American controls",NA,2p23.3,2,27684606,rs17006206-G,rs17006206,17006206,2.00E-06
HECW1,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,7p13,7,43337677,rs17172199-?,rs17172199,17172199,1.00E-06
GLIS3,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,9p24.2,9,3929424,rs514716-G,rs514716,514716,1.00E-08
GLIS3,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,9p24.2,9,3929424,rs514716-G,rs514716,514716,3.00E-09
IL34,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,16q22.1,16,70602635,rs78927322-G,rs78927322,78927322,1.00E-07
LOC100129500,21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.",Alzheimer's disease biomarkers,"96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls",NA,19q13.32,19,44911194,rs439401-?,rs439401,439401,1.00E-06
CCDC134,21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.",Alzheimer's disease biomarkers,"96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls",NA,22q13.2,22,41822852,rs7364180-?,rs7364180,7364180,1.00E-06
LINC00290,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",4q34.3,4,181180536,rs10018288-G,rs10018288,10018288,4.00E-06
SUCLG2,25027320,SUCLG2 identified as both a determinator of CSF AÎ²1-42 levels and an attenuator of cognitive decline in Alzheimer's disease.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,363 European ancestry individuals,515 individuals,3p14.1,3,67406609,rs62256378-A,rs62256378,62256378,3.00E-12
CCRL2,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,3p21.31,3,46408373,rs6808835-G,rs6808835,6808835,2.00E-13
CCR5,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,3p21.31,3,46408373,rs6808835-G,rs6808835,6808835,2.00E-13
CCR2,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,3p21.31,3,46408373,rs6808835-G,rs6808835,6808835,2.00E-13
LTF,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,3p21.31,3,46408373,rs6808835-G,rs6808835,6808835,2.00E-13
MMP3,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,11q22.2,11,102846249,rs573521-A,rs573521,573521,2.00E-44
MMP3,22832961,Genome-wide association study of Alzheimer's disease.,Alzheimer's disease,"1,291 European ancestry cases, 938 European ancestry controls","509 European ancestry cases, 753 European ancestry controls, 2,218 cases, 2,583 controls",11q22.2,11,102862432,rs12808148-?,rs12808148,12808148,1.00E-06
MMP12,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,11q22.2,11,102846249,rs573521-A,rs573521,573521,2.00E-44
MMP12,22832961,Genome-wide association study of Alzheimer's disease.,Alzheimer's disease,"1,291 European ancestry cases, 938 European ancestry controls","509 European ancestry cases, 753 European ancestry controls, 2,218 cases, 2,583 controls",11q22.2,11,102862432,rs12808148-?,rs12808148,12808148,1.00E-06
WTAPP1,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,11q22.2,11,102846249,rs573521-A,rs573521,573521,2.00E-44
MMP13,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,11q22.2,11,102846249,rs573521-A,rs573521,573521,2.00E-44
DCUN1D5,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,11q22.2,11,102846249,rs573521-A,rs573521,573521,2.00E-44
RORA,21116278,Genome-wide association with MRI atrophy measures as a quantitative trait locus for Alzheimer's disease.,Total ventricular volume (Alzheimer's disease interaction),"424 European ancestry mild cognitive impairment cases, 236 European ancestry Alzheimer's disease cases, 279 European ancestry controls",NA,15q22.2,15,60618351,rs3784609-?,rs3784609,3784609,3.00E-06
APP,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,11q22.2,11,102846249,rs573521-A,rs573521,573521,2.00E-44
DIRAS2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (immediate recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,9q22.2,9,90331096,rs6479525-A,rs6479525,6479525,9.00E-07
C12orf75,23419831,APOE and BCHE as modulators of cerebral amyloid deposition: a florbetapir PET genome-wide association study.,Alzheimer's disease biomarkers,555 European ancestry individuals,NA,12q23.3,12,105714941,rs10219670-C,rs10219670,10219670,4.00E-06
NUAK1,23419831,APOE and BCHE as modulators of cerebral amyloid deposition: a florbetapir PET genome-wide association study.,Alzheimer's disease biomarkers,555 European ancestry individuals,NA,12q23.3,12,105714941,rs10219670-C,rs10219670,10219670,4.00E-06
PCDH1,19136949,Genetic variation in PCDH11X is associated with susceptibility to late-onset Alzheimer's disease.,Alzheimer's disease,"844 European ancestry cases, 1,255 European ancestry controls","1,547 European ancestry cases, 1,209 European ancestry controls",Xq21.31,X,92147221,rs2573905-?,rs2573905,2573905,2.00E-07
APOC1P1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
APOC1P1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
PRDM2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (delayed recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,1p36.21,1,13913797,rs72639058-T,rs72639058,72639058,5.00E-07
KAZN,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Logical memory (delayed recall) in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,1p36.21,1,13913797,rs72639058-T,rs72639058,72639058,5.00E-07
NKAIN2,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,6q22.31,6,124005082,rs117780815-?,rs117780815,117780815,6.00E-07
BCAM,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,9.00E-116
BCAM,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
BCAM,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
OMM40,19125160,Examination of the current top candidate genes for AD in a genome-wide association study.,Alzheimer's disease,"491 European ancestry cases, 479 European ancestry controls",NA,19q13.32,19,44892009,rs157580-?,rs157580,157580,1.00E-40
OMM40,20061627,Genome-wide scan of copy number variation in late-onset Alzheimer's disease.,Alzheimer's disease,"331 European ancestry cases, 368 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,3.00E-11
OMM40,20885792,Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.,Alzheimer's disease (late onset),"931 cases, 1,104 controls","1,338 cases, 2,003 controls",19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,5.00E-36
OMM40,18823527,A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.,Alzheimer's disease,"1,082 European ancestry cases, 1,239 European ancestry controls","1,400 controls",19q13.32,19,44878777,rs6859-A,rs6859,6859,6.00E-14
OMM40,26339675,F-box/LRR-repeat protein 7 is genetically associated with Alzheimer's disease.,Alzheimer's disease (late onset),"2,451 Caribbean Hispanic cases, 2,063 Caribbean Hispanic controls","550 Caribbean Hispanic cases, 236 Caribbean Hispanic controls",19q13.32,19,44901322,rs394819-T,rs394819,394819,8.00E-11
OMM40,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,1.00E-12
OMM40,23419831,APOE and BCHE as modulators of cerebral amyloid deposition: a florbetapir PET genome-wide association study.,Alzheimer's disease biomarkers,555 European ancestry individuals,NA,19q13.32,19,44893408,rs59007384-T,rs59007384,59007384,7.00E-09
OMM40,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,9.00E-116
OMM40,29107063,Hidden heterogeneity in Alzheimer's disease: Insights from genetic association studies and other analyses.,Alzheimer's disease (age of onset),"12,169 European ancestry individuals, 2,078 Black individuals, 4,053 unknown ancestry individuals",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,5.00E-07
OMM40,29107063,Hidden heterogeneity in Alzheimer's disease: Insights from genetic association studies and other analyses.,Alzheimer's disease,"at least 3,569 European, Black, and unknown ancestry cases, at least 19,085 European, Black, and unknown ancestry controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,2.00E-07
OMM40,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
OMM40,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
OMM40,21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.",Alzheimer's disease biomarkers,"96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls",NA,19q13.32,19,44892009,rs157580-?,rs157580,157580,1.00E-06
OMM40,21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.",Alzheimer's disease biomarkers,"96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,1.00E-06
OMM40,22832961,Genome-wide association study of Alzheimer's disease.,Alzheimer's disease,"1,291 European ancestry cases, 938 European ancestry controls","509 European ancestry cases, 753 European ancestry controls, 2,218 cases, 2,583 controls",19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,8.00E-149
OMM40,24770881,ABCC9 gene polymorphism is associated with hippocampal sclerosis of aging pathology.,Alzheimer's disease,1443 cases and 99 controls,NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,4.00E-13
OMM40,23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",Alzheimer's disease (late onset),"891 Japanese ancestry cases, 844 Japanese ancestry controls","1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls",19q13.32,19,44873027,rs519113-G,rs519113,519113,5.00E-39
OMM40,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,19q13.32,19,44906745,rs769449-A,rs769449,769449,2.00E-16
OMM40,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,19q13.32,19,44906745,rs769449-A,rs769449,769449,2.00E-18
OMM40,26993346,Genetic risk factors for the posterior cortical atrophy variant of Alzheimer's disease.,Posterior cortical atrophy and Alzheimer's disease,"293 cases, 10,547 healthy controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,6.00E-14
OMM40,19734902,Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.,Alzheimer's disease,"3,941 European ancestry cases, 7,848 European ancestry controls","2,023 European ancestry cases, 2,340 European ancestry controls",19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,2.00E-157
APOC4,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
APOC4,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
APOC2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
APOC2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
CLPTM1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
CLPTM1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
RELB,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
CYB561,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,17q23.3,17,63471115,rs4968782-G,rs4968782,4968782,4.00E-12
ACE,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,17q23.3,17,63471115,rs4968782-G,rs4968782,4968782,4.00E-12
ACE,24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",Alzheimer's disease (late onset),"17,008 European ancestry cases, 37,154 European ancestry controls","8,572 European ancestry cases, 11,312 European ancestry controls",,,,chr17:61538148-A,chr17:61538148,NA,3.00E-07
TDRD10,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,1q21.3,1,154447611,rs61812598-G,rs61812598,61812598,6.00E-63
SHE,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,1q21.3,1,154447611,rs61812598-G,rs61812598,61812598,6.00E-63
UBE2Q1,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,1q21.3,1,154447611,rs61812598-G,rs61812598,61812598,6.00E-63
ADAR,28560309,Single-nucleotide polymorphisms are associated with cognitive decline at Alzheimer's disease conversion within mild cognitive impairment patients.,Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction),242 European ancestry individuals,NA,10p15.3,10,1563803,rs10903488-?,rs10903488,10903488,3.00E-06
ADAR,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,1q21.3,1,154447611,rs61812598-G,rs61812598,61812598,6.00E-63
